행정구역(시군)별(1),2010수출,2010수입,2011수출,2011수입,2012수출,2012수입,2013수출,2013수입,2014수출,2014수입,2015수출,2015수입,2016수출,2016수입,2017수출,2017수입,2018수출,2018수입,2019수출,2019수입,2020수출,2020수입,2021수출,2021수입,2022수출,2022수입,결과,2021무역규모,2021순수출,수출성장여부
창원시,142619,87015,188523,99384,194608,109835,169133,133485,153558,150636,140389,142222,149710,112743,149080,129836,155433,159003,149897,192713,147494,175973,166219,195942,177043,256789,0,362161,-29723,1
진주시,35575,235524,30815,218417,40378,163566,40559,149274,47665,155661,49071,161668,50931,138183,56038,157919,58726,207611,59665,172840,58488,133086,67200,175885,59430,179547,0,243085,-108685,1
통영시,54181,79210,74846,85639,62942,68370,64298,71019,65785,57711,82142,65649,64840,93770,68069,103812,72806,132590,70653,124416,59392,106340,65070,131826,55472,142959,0,196896,-66756,1
사천시,55216,76534,68558,76377,75011,69831,89681,84546,122003,98558,137342,93866,166678,110920,306236,150007,352473,167320,447119,157343,360065,151214,337961,145222,351903,148431,1,483183,192739,0
김해시,42068,201261,47638,249404,41340,255894,25514,265839,28013,248909,23610,212596,23373,203731,26371,216537,26724,237127,34540,242710,35262,249833,38339,335127,45707,349774,0,373466,-296788,1
밀양시,41481,22179,40669,30993,30752,42820,29241,48827,30761,52003,27914,50277,31359,58360,32307,71334,35357,88773,36832,122828,35468,108440,44184,130537,87136,152031,0,174721,-86353,1
거제시,24265,16431,27546,10641,20295,14454,27510,21712,23283,24135,28333,33652,31734,39273,26195,59366,23592,34509,26868,16946,26843,16108,30711,17869,35212,14273,1,48580,12842,1
양산시,120524,315287,151407,446073,181250,463843,199422,416114,221985,406112,288559,400184,252810,373026,227573,392460,170685,416132,160933,383471,151937,331357,208020,386851,239631,536222,0,594871,-178831,1
의령군,1822,5713,3374,5145,5592,6122,5044,6305,5715,7117,4269,9028,7388,8982,6288,8626,6192,10996,7163,9374,4208,9375,6834,11157,3146,8447,0,17991,-4323,1
함안군,24598,107714,24825,149979,42255,201389,55208,179569,64946,155262,79511,136724,85233,231286,89845,140553,100956,127216,112918,129990,105285,132486,108559,179803,109756,262610,0,288362,-71244,1
창녕군,8619,33825,12486,48051,9783,49789,13070,58442,10688,52690,9195,46943,9876,50380,9800,55827,10664,60306,15776,73656,13199,76447,13240,110118,11869,125657,0,123358,-96878,1
고성군,17344,759,18425,552,19234,1433,16959,7260,15758,11314,19527,7687,12472,8577,19038,7535,19364,6677,22246,6255,22246,8507,19353,20218,17845,38336,0,39571,-865,0
남해군,863,197,940,973,739,1719,977,887,1274,472,1027,1349,823,2021,469,1834,1184,3919,1318,6199,3981,4511,827,1615,321,1431,0,2442,-788,0
하동군,3676,445,7001,630,7204,657,5895,471,5169,554,5322,394,6882,2262,10097,793,10731,763,8257,1460,9799,2888,14245,1614,16402,1226,1,15859,12631,1
산청군,2299,1381,3745,1801,6132,4439,6177,3905,4802,3523,3491,4150,4968,3949,5635,3151,6509,3694,6520,2329,7235,2579,9091,2266,11191,3475,1,11357,6825,1
함양군,11037,730,13250,1730,14014,2116,18379,3651,24985,2780,20960,6482,29929,7129,33578,8581,36809,8582,35171,8434,29553,7254,28765,6572,23951,8943,1,35337,22193,0
거창군,1764,38623,4261,43628,7184,49847,11268,45167,17615,51410,13278,57492,16487,38780,10765,56499,17407,58262,16257,53686,15988,55948,15946,67556,13544,72014,0,83502,-51610,0
합천군,3367,8464,5214,9203,5383,9726,6591,10841,7119,12374,5030,7317,6095,9478,4077,11582,5047,12208,7234,11490,4163,7600,4633,10756,1969,11513,0,15389,-6123,1
